Zipcode,Income,Market,Restaurants,Crime,House
90034,65572,4,111,2099,1182883
90044,32278,1,65,4708,432384
90026,54342,0,191,3409,931038
90066,75209,0,102,1696,1322092
90019,50671,2,156,3360,1025630
90280,47281,0,181,0,445546
91342,68600,0,109,2626,513630
90025,78713,2,217,2047,933123
91335,55580,0,135,2748,540876
91801,53644,0,136,5,628546
91331,57353,0,139,3305,478184
90042,55596,1,134,1662,738569
91402,41669,0,131,2659,435723
91406,51564,0,110,2564,582546
91405,41283,0,107,2522,522100
90047,42551,0,64,2628,478361
91343,61692,0,72,2292,574292
90247,46076,0,130,601,533915
90003,34397,0,77,5767,396823
90016,43443,3,85,2728,723892
90018,37341,0,54,2387,740661
90043,41812,1,41,2155,656784
91304,64367,0,61,1461,619600
90022,60197,1,0,0,434100
90045,90399,3,266,3473,1161953
91344,86460,0,92,1729,653146
90275,124384,0,46,82,1194476
91605,43004,0,112,2590,578715
90745,73053,0,121,14,507992
90065,58405,1,85,1724,836611
91606,44773,0,98,1784,622033
90501,64995,0,133,730,673307
90262,45897,0,113,0,436746
90008,36641,0,51,2341,844253
91401,51784,0,80,1826,736676
91604,99745,0,159,1634,1203861
90744,43284,0,97,2557,459076
91306,64772,0,48,1642,564300
91607,60772,0,66,1140,844169
91311,82738,0,98,1613,616253
91505,82630,0,127,30,764584
90032,47370,0,72,1276,598730
90063,44121,1,82,403,495353
90230,79242,0,127,401,818376
91326,105611,0,33,691,818846
90064,92194,2,123,1325,1462700
90504,79352,0,56,1,714161
90002,34000,1,22,2247,385915
90039,81394,1,83,1153,1076792
91325,65129,0,72,1064,723976
91403,89552,0,94,1041,1025784
91352,52171,0,78,2144,553900
91321,66178,0,82,5,447361
91364,100323,0,116,1114,852069
90059,37653,1,40,1824,386284
90041,73250,3,101,832,911723
90810,56061,0,58,4,465192
91042,53412,0,35,642,630107
91602,78526,0,57,675,799700
91303,51486,0,111,2179,518269
91324,68477,0,187,1788,638023
91504,73501,0,46,37,811730
90062,40018,1,29,2343,579469
91302,122967,0,44,0,1428838
90710,57968,0,43,742,553325
90717,61077,0,63,80,645969
90732,89440,0,28,389,560415
91307,111043,0,37,788,684369
91340,54703,0,93,417,479576
91506,72681,0,48,0,820738
90245,92942,0,142,16,1189069
91040,77910,0,40,520,607330
91105,112765,0,105,2,1253169
90502,68676,0,40,95,469761
91436,159965,0,70,617,1540584
