Zipcode,Id,Rating,Price,Lat,Long
90001,131,131,75,131,131
90002,22,22,17,22,22
90003,77,77,64,77,77
90004,162,162,122,162,162
90005,144,144,119,144,144
90006,234,234,180,234,234
90007,170,170,128,170,170
90008,51,51,42,51,51
90010,125,125,103,125,125
90011,142,142,90,142,142
90012,277,277,241,277,277
90013,183,183,145,183,183
90014,153,153,120,153,153
90015,268,268,184,268,268
90016,85,85,65,85,85
90017,171,171,144,171,171
90018,54,54,40,54,54
90019,156,156,128,156,156
90020,187,187,157,187,187
90021,117,117,74,117,117
90023,130,130,101,130,130
90024,148,148,130,148,148
90025,217,217,198,217,217
90026,191,191,159,191,191
90027,196,196,159,196,196
90028,288,288,249,288,288
90029,135,135,113,135,135
90031,61,61,49,61,61
90032,72,72,55,72,72
90033,149,149,119,149,149
90034,111,111,97,111,111
90035,107,107,95,107,107
90036,196,196,177,196,196
90037,88,88,54,88,88
90038,120,120,101,120,120
90039,83,83,70,83,83
90041,101,101,94,101,101
90042,134,134,103,134,134
90043,41,41,38,41,41
90044,65,65,46,65,65
90045,266,266,219,266,266
90046,185,185,155,185,185
90047,64,64,50,64,64
90048,163,163,135,163,163
90049,63,63,57,63,63
90056,7,7,6,7,7
90057,92,92,70,92,92
90058,46,46,32,46,46
90059,40,40,31,40,40
90061,33,33,29,33,33
90062,29,29,27,29,29
90063,82,82,64,82,82
90064,123,123,115,123,123
90065,85,85,73,85,85
90066,102,102,86,102,102
90067,83,83,67,83,83
90068,37,37,29,37,37
90069,152,152,131,152,152
90071,76,76,63,76,76
90073,1,1,1,1,1
90077,12,12,11,12,12
90089,26,26,22,26,26
90094,23,23,17,23,23
90095,24,24,22,24,24
90210,110,110,83,110,110
90211,50,50,40,50,50
90212,68,68,60,68,68
90230,127,127,113,127,127
90232,126,126,114,126,126
90245,142,142,122,142,142
90247,130,130,115,130,130
90248,85,85,74,85,85
90262,113,113,94,113,113
90265,58,58,50,58,58
90272,49,49,43,49,49
90275,46,46,42,46,46
90280,181,181,158,181,181
90290,7,7,6,7,7
90291,172,172,130,172,172
90292,111,111,102,111,111
90293,25,25,24,25,25
90301,88,88,74,88,88
90302,41,41,34,41,41
90304,66,66,54,66,66
90305,11,11,10,11,11
90402,20,20,15,20,20
90403,74,74,66,74,74
90404,55,55,46,55,55
90405,144,144,133,144,144
90501,133,133,117,133,133
90502,40,40,35,40,40
90504,56,56,51,56,56
90710,43,43,38,43,43
90717,63,63,60,63,63
90731,126,126,106,126,126
90732,28,28,27,28,28
90744,97,97,80,97,97
90745,121,121,109,121,121
90802,214,214,183,214,214
90810,58,58,49,58,58
90813,97,97,77,97,97
91030,55,55,52,55,55
91040,40,40,35,40,40
91042,35,35,31,35,35
91105,105,105,98,105,105
91201,51,51,47,51,51
91202,28,28,26,28,28
91204,70,70,63,70,70
91205,107,107,87,107,107
91206,43,43,34,43,43
91208,25,25,19,25,25
91214,37,37,36,37,37
91302,44,44,39,44,44
91303,111,111,102,111,111
91304,61,61,52,61,61
91306,48,48,41,48,48
91307,37,37,36,37,37
91311,98,98,89,98,98
91316,60,60,52,60,60
91321,82,82,76,82,82
91324,187,187,160,187,187
91325,72,72,65,72,72
91326,33,33,30,33,33
91330,9,9,8,9,9
91331,139,139,105,139,139
91335,135,135,116,135,135
91340,93,93,84,93,93
91342,109,109,87,109,109
91343,72,72,56,72,72
91344,92,92,87,92,92
91345,33,33,28,33,33
91352,78,78,63,78,78
91356,104,104,85,104,104
91364,116,116,106,116,116
91367,84,84,79,84,84
91401,80,80,70,80,80
91402,131,131,101,131,131
91403,94,94,85,94,94
91405,107,107,91,107,107
91406,110,110,86,110,110
91411,56,56,48,56,56
91423,100,100,90,100,100
91436,70,70,61,70,70
91501,6,6,3,6,6
91504,46,46,43,46,46
91505,127,127,115,127,127
91506,48,48,46,48,48
91522,2,2,2,2,2
91601,131,131,108,131,131
91602,57,57,53,57,57
91604,159,159,144,159,159
91605,112,112,87,112,112
91606,98,98,85,98,98
91607,66,66,55,66,66
91608,38,38,33,38,38
91801,136,136,125,136,136
91803,60,60,58,60,60
